item_id,name_en,name_zh,source,catalog,kind,role,current_category,type_code,canonical_category_zh,material,color,width_cm,depth_cm,height_cm,issues,object_key,glb_url,source_type_code,source_role_zh,role_code,materials,colors,dimension_review_status,is_active
abo-anti-slip-rug-underlays-01-ravenna-home-esquire-rug-5-w-x-7-6-l-feathery-ogee-design,"Ravenna Home Esquire Rug, 5'W x 7'6""L, Feathery Ogee Design","防滑墊與地毯襯墊 - Ravenna Home Esquire Rug, 5'W x 7'6""L, Feathery Ogee Design",abo,abo_furniture,furniture,軟裝,地毯,rug,地毯,聚酯纖維,灰色、藍色,229,152,1,possible_exact_product_duplicate,models/abo/furniture/abo-anti-slip-rug-underlays-01-ravenna-home-esquire-rug-5-w-x-7-6-l-feathery-ogee-design.glb,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-anti-slip-rug-underlays-01-ravenna-home-esquire-rug-5-w-x-7-6-l-feathery-ogee-design.glb,rug,軟裝,soft_furnishing,"[""聚酯纖維""]","[""灰色"",""藍色""]",,true
abo-anti-slip-rug-underlays-08-ravenna-home-tangram-rug-5-w-x-7-6-l-tessellated-circle-design,"Ravenna Home Tangram Rug, 5'W x 7'6""L, Tessellated Circle Design","防滑墊與地毯襯墊 - Ravenna Home Tangram Rug, 5'W x 7'6""L, Tessellated Circle Design",abo,abo_furniture,furniture,軟裝,地毯,rug,地毯,聚酯纖維,,229,152,1,possible_exact_product_duplicate,models/abo/furniture/abo-anti-slip-rug-underlays-08-ravenna-home-tangram-rug-5-w-x-7-6-l-tessellated-circle-design.glb,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-anti-slip-rug-underlays-08-ravenna-home-tangram-rug-5-w-x-7-6-l-tessellated-circle-design.glb,rug,軟裝,soft_furnishing,"[""聚酯纖維""]",[],,true
abo-anti-slip-rug-underlays-14-ravenna-home-arabesque-rug-5-w-x-7-6-l-interlocking-circles-design,"Ravenna Home Arabesque Rug, 5'W x 7'6""L, Interlocking Circles Design","防滑墊與地毯襯墊 - Ravenna Home Arabesque Rug, 5'W x 7'6""L, Interlocking Circles Design",abo,abo_furniture,furniture,軟裝,地毯,rug,地毯,聚酯纖維,灰色,229,152,1,possible_exact_product_duplicate,models/abo/furniture/abo-anti-slip-rug-underlays-14-ravenna-home-arabesque-rug-5-w-x-7-6-l-interlocking-circles-design.glb,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-anti-slip-rug-underlays-14-ravenna-home-arabesque-rug-5-w-x-7-6-l-interlocking-circles-design.glb,rug,軟裝,soft_furnishing,"[""聚酯纖維""]","[""灰色""]",,true
abo-anti-slip-rug-underlays-16-ravenna-home-baron-rug-8-w-x-10-l-fine-lattice-design,"Ravenna Home Baron Rug, 8'W x 10'L, Fine Lattice Design","防滑墊與地毯襯墊 - Ravenna Home Baron Rug, 8'W x 10'L, Fine Lattice Design",abo,abo_furniture,furniture,軟裝,地毯,rug,地毯,聚酯纖維,米色,305,244,1,possible_exact_product_duplicate,models/abo/furniture/abo-anti-slip-rug-underlays-16-ravenna-home-baron-rug-8-w-x-10-l-fine-lattice-design.glb,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-anti-slip-rug-underlays-16-ravenna-home-baron-rug-8-w-x-10-l-fine-lattice-design.glb,rug,軟裝,soft_furnishing,"[""聚酯纖維""]","[""米色""]",,true
abo-anti-slip-rug-underlays-17-ravenna-home-baron-rug-8-w-x-10-l-fine-lattice-design,"Ravenna Home Baron Rug, 8'W x 10'L, Fine Lattice Design","防滑墊與地毯襯墊 - Ravenna Home Baron Rug, 8'W x 10'L, Fine Lattice Design",abo,abo_furniture,furniture,軟裝,地毯,rug,地毯,聚酯纖維,藍色,305,244,1,possible_exact_product_duplicate,models/abo/furniture/abo-anti-slip-rug-underlays-17-ravenna-home-baron-rug-8-w-x-10-l-fine-lattice-design.glb,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-anti-slip-rug-underlays-17-ravenna-home-baron-rug-8-w-x-10-l-fine-lattice-design.glb,rug,軟裝,soft_furnishing,"[""聚酯纖維""]","[""藍色""]",,true
abo-anti-slip-rug-underlays-21-ravenna-home-amore-rug-8-w-x-10-l-stylized-leaf-design,"Ravenna Home Amore Rug, 8'W x 10'L, Stylized Leaf Design","防滑墊與地毯襯墊 - Ravenna Home Amore Rug, 8'W x 10'L, Stylized Leaf Design",abo,abo_furniture,furniture,軟裝,地毯,rug,地毯,聚酯纖維,綠色,305,244,1,possible_exact_product_duplicate,models/abo/furniture/abo-anti-slip-rug-underlays-21-ravenna-home-amore-rug-8-w-x-10-l-stylized-leaf-design.glb,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-anti-slip-rug-underlays-21-ravenna-home-amore-rug-8-w-x-10-l-stylized-leaf-design.glb,rug,軟裝,soft_furnishing,"[""聚酯纖維""]","[""綠色""]",,true
abo-anti-slip-rug-underlays-31-ravenna-home-esquire-rug-8-w-x-10-l-feathery-ogee-design,"Ravenna Home Esquire Rug, 8'W x 10'L, Feathery Ogee Design","防滑墊與地毯襯墊 - Ravenna Home Esquire Rug, 8'W x 10'L, Feathery Ogee Design",abo,abo_furniture,furniture,軟裝,地毯,rug,地毯,聚酯纖維,灰色、藍色,305,244,1,possible_exact_product_duplicate,models/abo/furniture/abo-anti-slip-rug-underlays-31-ravenna-home-esquire-rug-8-w-x-10-l-feathery-ogee-design.glb,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-anti-slip-rug-underlays-31-ravenna-home-esquire-rug-8-w-x-10-l-feathery-ogee-design.glb,rug,軟裝,soft_furnishing,"[""聚酯纖維""]","[""灰色"",""藍色""]",,true
abo-anti-slip-rug-underlays-35-ravenna-home-baron-rug-5-w-x-7-6-l-fine-lattice-design,"Ravenna Home Baron Rug, 5'W x 7'6""L, Fine Lattice Design","防滑墊與地毯襯墊 - Ravenna Home Baron Rug, 5'W x 7'6""L, Fine Lattice Design",abo,abo_furniture,furniture,軟裝,地毯,rug,地毯,聚酯纖維,米色,229,152,1,possible_exact_product_duplicate,models/abo/furniture/abo-anti-slip-rug-underlays-35-ravenna-home-baron-rug-5-w-x-7-6-l-fine-lattice-design.glb,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-anti-slip-rug-underlays-35-ravenna-home-baron-rug-5-w-x-7-6-l-fine-lattice-design.glb,rug,軟裝,soft_furnishing,"[""聚酯纖維""]","[""米色""]",,true
abo-anti-slip-rug-underlays-42-ravenna-home-amore-rug-8-w-x-10-l-stylized-leaf-design,"Ravenna Home Amore Rug, 8'W x 10'L, Stylized Leaf Design","防滑墊與地毯襯墊 - Ravenna Home Amore Rug, 8'W x 10'L, Stylized Leaf Design",abo,abo_furniture,furniture,軟裝,地毯,rug,地毯,聚酯纖維,紅色,305,244,1,possible_exact_product_duplicate,models/abo/furniture/abo-anti-slip-rug-underlays-42-ravenna-home-amore-rug-8-w-x-10-l-stylized-leaf-design.glb,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-anti-slip-rug-underlays-42-ravenna-home-amore-rug-8-w-x-10-l-stylized-leaf-design.glb,rug,軟裝,soft_furnishing,"[""聚酯纖維""]","[""紅色""]",,true
abo-anti-slip-rug-underlays-47-amazon-brand-stone-beam-modern-global-bohemian-kilim-rug-4-x-6-foot-multicolor,"Amazon Brand – Stone & Beam Modern Global Bohemian Kilim Rug, 4 x 6 Foot, Multicolor","防滑墊與地毯襯墊 - Amazon Brand – Stone & Beam Modern Global Bohemian Kilim Rug, 4 x 6 Foot, Multicolor",abo,abo_furniture,furniture,軟裝,地毯,rug,地毯,石材,多色,203,147,4,suspected_brand_to_material_error,models/abo/furniture/abo-anti-slip-rug-underlays-47-amazon-brand-stone-beam-modern-global-bohemian-kilim-rug-4-x-6-foot-multicolor.glb,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-anti-slip-rug-underlays-47-amazon-brand-stone-beam-modern-global-bohemian-kilim-rug-4-x-6-foot-multicolor.glb,rug,軟裝,soft_furnishing,[],"[""多色""]",,true
